,proto,service,id.resp_p,missed_bytes,version,cipher,curve,resumed,established,sni_matches_cert,secure_label
461,tcp,,50912,0,1,1,1,1,1,1,1
462,tcp,,50872,0,1,1,1,1,1,1,1
463,tcp,,50960,0,1,1,1,1,1,1,1
464,tcp,,42773,0,1,1,1,1,1,1,1
465,udp,dns,53,0,1,1,1,1,1,1,0
466,udp,dns,53,0,1,1,1,1,1,1,0
467,tcp,,8081,0,1,1,1,1,1,1,1
468,tcp,,3306,0,1,1,1,1,1,1,1
469,tcp,,8081,0,1,1,1,1,1,1,1
470,tcp,,3306,0,1,1,1,1,1,1,1
471,udp,dns,53,0,1,1,1,1,1,1,0
472,tcp,ssl,443,0,1,1,1,1,1,1,1
473,,,443,,0,1,1,1,1,1,0
474,tcp,,8081,0,1,1,1,1,1,1,1
475,tcp,,2181,0,1,1,1,1,1,1,1
476,tcp,,27017,0,1,1,1,1,1,1,1
477,udp,dns,53,0,1,1,1,1,1,1,0
478,tcp,,9092,0,1,1,1,1,1,1,1
479,tcp,,9092,0,1,1,1,1,1,1,1
480,udp,dns,53,0,1,1,1,1,1,1,0
481,udp,dns,53,0,1,1,1,1,1,1,0
482,tcp,,34984,0,1,1,1,1,1,1,1
483,tcp,,50912,0,1,1,1,1,1,1,1
484,tcp,,50872,0,1,1,1,1,1,1,1
485,tcp,,50960,0,1,1,1,1,1,1,1
486,udp,dns,53,0,1,1,1,1,1,1,0
487,udp,quic,443,0,1,1,1,1,1,1,1
488,tcp,,36276,0,1,1,1,1,1,1,1
489,tcp,,42773,0,1,1,1,1,1,1,1
490,tcp,,58768,0,1,1,1,1,1,1,1
491,tcp,,45903,0,1,1,1,1,1,1,1
492,udp,dns,53,0,1,1,1,1,1,1,0
493,udp,dns,53,0,1,1,1,1,1,1,0
494,udp,dns,53,0,1,1,1,1,1,1,0
495,udp,quic,443,0,1,1,1,1,1,1,1
496,tcp,,2181,0,1,1,1,1,1,1,1
497,tcp,,34984,0,1,1,1,1,1,1,1
498,tcp,,50912,0,1,1,1,1,1,1,1
499,tcp,,50872,0,1,1,1,1,1,1,1
500,tcp,,50960,0,1,1,1,1,1,1,1
501,tcp,,9092,0,1,1,1,1,1,1,1
502,tcp,,42773,0,1,1,1,1,1,1,1
503,tcp,,9092,0,1,1,1,1,1,1,1
504,icmp,,0,0,1,1,1,1,1,1,1
505,icmp,,134,0,1,1,1,1,1,1,1
506,udp,dns,5353,0,1,1,1,1,1,1,1
507,icmp,,0,0,1,1,1,1,1,1,1
508,unknown_transport,,0,0,1,1,1,1,1,1,0
